./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:113: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:116: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:116: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:119: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:140: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:149: PostgresSQL ==> PostgreSQL
./docs/apim/4.5/installation-and-upgrades/installing-on-openshift.md:297: overriden ==> overridden
./docs/apim/4.5/installation-and-upgrades/upgrading-gravitee-api-management/breaking-changes-and-deprecated-functionality-for-api-management.md:81: Depcrecated ==> Deprecated
./docs/apim/4.5/installation-and-upgrades/upgrading-gravitee-api-management/upgrade-guide.md:77: followig ==> following
./docs/apim/4.5/installation-and-upgrades/repositories/redis.md:37: vertx ==> Vertx
./docs/apim/4.5/installation-and-upgrades/repositories/redis.md:37: vertx ==> Vertx
./docs/apim/4.5/installation-and-upgrades/advanced-hybrid-deployment/README.md:89: Samle ==> Sample,
./docs/apim/4.5/installation-and-upgrades/installing-with-rpm-packages/installing-with-manual-install.md:105: Ngnix ==> Nginx
./docs/apim/4.5/installation-and-upgrades/installing-with-rpm-packages/installing-with-manual-install.md:115: respository ==> repository
./docs/apim/4.5/installation-and-upgrades/install-on-docker/further-customization.md:48: vairables ==> variables
./docs/apim/4.5/using-the-product/managing-your-apis/gravitee-expression-language.md:233: Prinicipal ==> Principal
./docs/apim/4.5/using-the-product/managing-your-apis/gravitee-expression-language.md:243: Prinicipal ==> Principal
./docs/apim/4.5/using-the-product/managing-your-apis/policy-studio/policies-for-your-apis/i-k/json-to-xml.md:159: overriden ==> overridden
./docs/apim/4.5/using-the-product/managing-your-apis/preparing-apis-for-subscribers/applications.md:237: applcation ==> application
./docs/apim/4.5/using-the-product/managing-your-apis/create-apis/README.md:2: criticial ==> critical
./docs/apim/4.5/using-the-product/managing-your-apis/create-apis/README.md:9: defintion ==> definition
./docs/apim/4.5/using-the-product/managing-your-apis/create-apis/the-api-creation-wizard/v4-api-creation-wizard.md:347: attemps ==> attempts
./docs/apim/4.5/using-the-product/managing-your-apis/api-configuration/v4-api-configuration/endpoints/README.md:44: nam ==> name
./docs/apim/4.5/using-the-product/using-the-gravitee-api-management-components/developer-portal/publishing-and-managing-apis-with-the-gravitee-developer-portal/README.md:3: infomation ==> information
./docs/apim/4.5/using-the-product/using-the-gravitee-api-management-components/general-configuration/logging.md:230: vertx ==> Vertx
./docs/apim/4.5/using-the-product/using-the-gravitee-api-management-components/general-configuration/logging.md:230: vertx ==> Vertx
./docs/apim/4.5/using-the-product/using-the-gravitee-api-management-components/general-configuration/secret-providers.md:219: certifcate ==> certificate
./docs/apim/4.5/using-the-product/using-the-gravitee-api-management-components/general-configuration/secret-providers.md:264: ot ==> hotfixes
./docs/apim/4.5/using-the-product/using-the-gravitee-api-management-components/general-configuration/shared-policy-groups/viewing-version-history-of-the-shared-policy-group.md:5: choronological ==> chronological
./docs/apim/4.5/using-the-product/production-ready-apim-environment/authentication.md:5: Deverloper ==> Developer
./docs/apim/4.5/using-the-product/administration/authentication/social-providers.md:47: setttings ==> settings
./docs/apim/4.5/using-the-product/administration/authentication/social-providers.md:57: Confoguring ==> Configuring
./docs/apim/4.5/using-the-product/most-common-use-cases/configure-dynamic-client-registration-with-apim.md:128: Devloper ==> Developer
./docs/apim/4.5/using-the-product/most-common-use-cases/configure-jwt-security-with-apim.md:70: Langauge ==> Language
